path,type,code_lines,syntax_or_json,flags,disposition
legacy_file_20b94a2ac419.py,py,524,PASS,absolute_path,excluded_internal_tooling
legacy_file_d27416bead0f.py,py,125,PASS,,reviewed_reference_only
legacy_file_3fd4d932d4d5.json,json,386,PASS,exact_date,excluded_data_or_run_configuration
legacy_file_e7a9bc034d22.py,py,355,PASS,pipeline;random_state,reviewed_superseded_modeling
legacy_file_2a4f6e17730a.py,py,425,PASS,grouped_cv;pipeline;random_state,reviewed_superseded_modeling
legacy_file_1c798d51039e.py,py,856,PASS,debugger,excluded_debugger_or_incomplete
legacy_file_28e5c85ad531.py,py,3842,PASS,exact_date;global_feature_selection;global_scaling;grouped_cv;ordinary_cv;participant_linked_record;random_state;sample_level_split,excluded_sensitive_or_machine_specific
legacy_file_ab6c3a31d37f.py,py,1677,PASS,exact_date;global_feature_selection;global_scaling;grouped_cv;ordinary_cv;random_state;sample_level_split,replaced_by_canonical_grouped_pipeline
legacy_file_734a0ebb67f1.py,py,2347,PASS,debugger;exact_date;global_feature_selection;global_scaling;grouped_cv;ordinary_cv;participant_linked_record;random_state,excluded_sensitive_or_machine_specific
legacy_file_c4b5e53ee5e9.py,py,2355,PASS,debugger;exact_date;global_feature_selection;global_scaling;grouped_cv;ordinary_cv;participant_linked_record;random_state,excluded_sensitive_or_machine_specific
legacy_file_acfe0c4b729f.py,py,1130,PASS,debugger;exact_date;global_scaling;grouped_cv;ordinary_cv;random_state,excluded_debugger_or_incomplete
legacy_file_2834549990b1.py,py,413,PASS,global_feature_selection;global_scaling;ordinary_cv;random_state;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_3e9b482da696.json,json,1685,PASS,exact_date;participant_linked_record,excluded_sensitive_or_machine_specific
legacy_file_9c310687be66.py,py,539,PASS,exact_date;grouped_cv;hyperparameter_search;pipeline;random_state,reviewed_superseded_modeling
legacy_file_c2e099ede410.py,py,449,PASS,grouped_cv;hyperparameter_search;ordinary_cv;pipeline;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_8e8acd9b219c.py,py,154,PASS,global_feature_selection;global_scaling;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_627c9afed678.py,py,1906,PASS,exact_date;global_feature_selection;global_scaling;grouped_cv;ordinary_cv;participant_linked_record;random_state;resampling;seed_search,excluded_sensitive_or_machine_specific
legacy_file_fe567438cd6c.py,py,283,PASS,grouped_cv;pipeline,reviewed_superseded_modeling
legacy_file_d05fbd5b3c4b.json,json,19,PASS,absolute_path,excluded_sensitive_or_machine_specific
legacy_file_1dcbdf4bf95b.json,json,33,PASS,absolute_path,excluded_sensitive_or_machine_specific
legacy_file_cfb2a59db9bf.json,json,212,PASS,,excluded_data_or_run_configuration
legacy_file_f1b3c399c700.py,py,419,PASS,debugger;exact_date,excluded_debugger_or_incomplete
legacy_file_aad76af0a73a.py,py,907,PASS,global_scaling;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_d0064dcf39e1.py,py,905,PASS,global_scaling;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_d3d216bf7b44.py,py,735,PASS,debugger;global_feature_selection;global_scaling;grouped_cv;hyperparameter_search;ordinary_cv;random_state,excluded_debugger_or_incomplete
legacy_file_4cb0616cca08.py,py,722,PASS,global_scaling;random_state;sample_level_split,replaced_by_canonical_grouped_pipeline
legacy_file_ac8b6dd043c8.py,py,1129,PASS,random_state,reviewed_reference_only
legacy_file_6f1c63a894ce.py,py,387,PASS,seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_2f00e456cecd.py,py,176,PASS,global_scaling;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_d015c59848ee.py,py,366,PASS,seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_ba5af2532c87.py,py,189,PASS,random_state,reviewed_reference_only
legacy_file_f165d62d59b1.py,py,276,PASS,debugger;grouped_cv;participant_linked_record;pipeline;random_state,excluded_sensitive_or_machine_specific
legacy_file_ea295ecce792.py,py,155,PASS,global_scaling;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_47f3bedf8a18.py,py,255,PASS,global_feature_selection;global_scaling;ordinary_cv;random_state;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_0f100d3bf4b3.py,py,142,PASS,seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_29c6870a527c.py,py,223,PASS,,reviewed_reference_only
legacy_file_2e42122018aa.py,py,366,PASS,grouped_cv;pipeline;random_state,reviewed_superseded_modeling
legacy_file_508f593175a7.py,py,455,PASS,debugger;model_persistence;ordinary_cv;random_state,excluded_debugger_or_incomplete
legacy_file_3cc49c08421f.py,py,475,PASS,model_persistence;ordinary_cv;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_a2c4a863e644.ipynb,ipynb,107,PASS,absolute_path,excluded_sensitive_or_machine_specific
legacy_file_e295324788e0.py,py,21,PASS,,reviewed_reference_only
legacy_file_49302fa3a31b.py,py,171,PASS,debugger;random_state;sample_level_split,excluded_debugger_or_incomplete
legacy_file_abcffad79293.py,py,140,PASS,ordinary_cv,replaced_by_canonical_grouped_pipeline
legacy_file_6c9a211f32ab.py,py,171,PASS,debugger;random_state;sample_level_split,excluded_debugger_or_incomplete
legacy_file_07a771534586.py,py,172,PASS,debugger;random_state;sample_level_split,excluded_debugger_or_incomplete
legacy_file_d946398c470b.py,py,278,PASS,debugger,excluded_debugger_or_incomplete
legacy_file_c6e4b3b6bc42.py,py,300,PASS,,reviewed_reference_only
legacy_file_6b1da4633b44.py,py,153,PASS,,reviewed_reference_only
legacy_file_af88055d33fb.py,py,331,PASS,global_feature_selection;global_scaling;ordinary_cv;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_90a9d7b02ea8.py,py,340,PASS,debugger;global_feature_selection;global_scaling;ordinary_cv;random_state,excluded_debugger_or_incomplete
legacy_file_efdd49e3408c.py,py,349,PASS,debugger;global_feature_selection;global_scaling;ordinary_cv;random_state,excluded_debugger_or_incomplete
legacy_file_90289dd0e936.py,py,351,PASS,debugger;global_feature_selection;global_scaling;ordinary_cv;random_state,excluded_debugger_or_incomplete
legacy_file_62ea20b9806b.py,py,756,PASS,debugger;global_feature_selection;global_scaling;ordinary_cv;random_state;sample_level_split;seed_search,excluded_debugger_or_incomplete
legacy_file_7d3e3ab75a4a.py,py,606,PASS,global_scaling;ordinary_cv;random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_742657feebfc.py,py,331,PASS,global_feature_selection;global_scaling;ordinary_cv;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_f8e3846e2401.py,py,844,PASS,,reviewed_reference_only
legacy_file_3fd53ab5e131.ipynb,ipynb,431,PASS,absolute_path;ordinary_cv;random_state;sample_level_split,excluded_sensitive_or_machine_specific
legacy_file_6d65da1df1bf.ipynb,ipynb,363,PASS,absolute_path;ordinary_cv;participant_linked_record;random_state;sample_level_split,excluded_sensitive_or_machine_specific
legacy_file_90b8c790e071.py,py,569,PASS,debugger;random_state;sample_level_split,excluded_debugger_or_incomplete
legacy_file_0b89dd616dd8.py,py,214,PASS,ordinary_cv;random_state;sample_level_split,replaced_by_canonical_grouped_pipeline
legacy_file_e119f44f0464.ipynb,ipynb,47,PASS,random_state;resampling,replaced_by_canonical_grouped_pipeline
legacy_file_c40b036ee3e5.py,py,580,PASS,random_state;sample_level_split,replaced_by_canonical_grouped_pipeline
legacy_file_f4720b47355d.py,py,334,PASS,random_state;sample_level_split,replaced_by_canonical_grouped_pipeline
legacy_file_f57ebb8cddd5.py,py,401,PASS,random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_7109d44f1a2e.py,py,308,PASS,,reviewed_reference_only
legacy_file_b09425906c5f.ipynb,ipynb,117,PASS,exact_date,reviewed_reference_only
legacy_file_ab19b9f03cc6.py,py,1793,FAIL: IndentationError,global_scaling;model_persistence;ordinary_cv;random_state,excluded_syntax_error
legacy_file_8c4b5b0f1099.py,py,1084,PASS,global_scaling;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_6b9b66a7cc4c.py,py,1142,PASS,global_scaling;model_persistence;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_16851c7c29b2.py,py,328,PASS,global_scaling;random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_10746b7d851d.py,py,200,PASS,global_scaling;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_ae3aa839e64e.py,py,291,PASS,global_scaling;random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_5c3bad0ac696.py,py,388,PASS,global_scaling;random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_fa27e9d086c6.py,py,264,PASS,seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_c034a0ae5f52.py,py,265,PASS,global_scaling;random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_a1c9d2e47d48.py,py,415,PASS,global_scaling;random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_0e300fd4ee74.py,py,307,PASS,global_scaling;random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_2f0d25cc478f.py,py,161,PASS,seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_b5bb566d7446.py,py,220,PASS,seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_5c8de8cb3d73.py,py,306,PASS,global_scaling;random_state;sample_level_split;seed_search,replaced_by_canonical_grouped_pipeline
legacy_file_6f3277121f8e.py,py,585,PASS,global_scaling;ordinary_cv;random_state,replaced_by_canonical_grouped_pipeline
legacy_file_27a332784ce0.ipynb,ipynb,82,PASS,absolute_path;global_scaling;random_state;sample_level_split,excluded_sensitive_or_machine_specific
legacy_file_afa510e6bc5e.ipynb,ipynb,210,PASS,absolute_path;global_scaling;random_state;sample_level_split,excluded_sensitive_or_machine_specific
legacy_file_7328ad37d165.ipynb,ipynb,53,PASS,,reviewed_reference_only
legacy_file_be56ad00efec.ipynb,ipynb,137,PASS,exact_date,reviewed_reference_only
legacy_file_28d8e5bfdc2e.ipynb,ipynb,54,PASS,,reviewed_reference_only
legacy_file_fa6b6acff8ee.py,py,253,PASS,debugger;random_state;resampling;sample_level_split,excluded_debugger_or_incomplete
legacy_file_982692d565aa.py,py,210,PASS,debugger;random_state;sample_level_split,excluded_debugger_or_incomplete
legacy_file_c965c523e87d.py,py,212,PASS,debugger;random_state;sample_level_split,excluded_debugger_or_incomplete
legacy_file_90fb97a44074.py,py,175,PASS,random_state;sample_level_split,replaced_by_canonical_grouped_pipeline
legacy_file_3d69bf36d807.py,py,54,PASS,,reviewed_reference_only
legacy_file_7aad08408fa4.py,py,247,PASS,exact_date;random_state,reviewed_reference_only
